entity_1,relationship,entity_2
Gholamhossein Gheib Parvar,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Hamidreza Moghadam Far,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Mohammad Abdollahpour,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Ali Akbar Pourjamshidian,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Fars News Agency,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Saberin Kish Company,Owned or Controlled By,Islamic Revolutionary Guard Corps
Mostafa Mohammad Khani,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Ali Morshed Shirazi,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Ali Ahmad Faizullahi,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Mojtaba Jahandust,Providing support to,Kata'Ib Hizballah
Majid Zaree,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Hossein Hatefi Ardakani,Providing support to,Islamic Revolutionary Guard Corps Aerospace Force Self Sufficiency Jihad Organization
Saman Industrial Group,Acting for or on behalf of,Islamic Revolutionary Guard Corps Aerospace Force Self Sufficiency Jihad Organization
Kavan Electronics Behrad Limited Liability Company,Providing support to,Islamic Revolutionary Guard Corps Aerospace Force Self Sufficiency Jihad Organization
Surabaya Hobby Cv,Providing support to,Pishgam Electronic Safeh Company
Milad Mansuri,Leader or official of,Iranian Islamic Revolutionary Guard Corps Cyber-Electronic Command
Hamid Homayunfal,Leader or official of,Iranian Islamic Revolutionary Guard Corps Cyber-Electronic Command
Reza Mohammad Amin Saberian,Leader or official of,Iranian Islamic Revolutionary Guard Corps Cyber-Electronic Command
Hamid Reza Lashgarian,Leader or official of,Iranian Islamic Revolutionary Guard Corps Cyber-Electronic Command
Mahdi Lashgarian,Leader or official of,Iranian Islamic Revolutionary Guard Corps Cyber-Electronic Command
China Oil And Petroleum Company Limited,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Mohammad Bagher Shirinkar,Leader or official of,Iranian Islamic Revolutionary Guard Corps Cyber-Electronic Command
Mohammad Reza Falahzadeh,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Mohammad Sadegh Abutalebi,Acting for or on behalf of,Oje Parvaz Mado Nafar Company
Mohammad Sadegh Fatehi,Acting for or on behalf of,Kimia Part Sivan Company Llc
Ali Asghar Abutalebi,Acting for or on behalf of,Oje Parvaz Mado Nafar Company
Hamid Hajji Ebrahimi Forushani,Acting for or on behalf of,Kimia Part Sivan Company Llc
Abbas Sartaji,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Hadi Jamshidi Zavaraki,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Ali Reza Nurian Ramsheh,Acting for or on behalf of,Kimia Part Sivan Company Llc
Ali Asghar Al-Taf,Acting for or on behalf of,Kimia Part Sivan Company Llc
Mohsen Sayyadi Turanlu,Acting for or on behalf of,Kimia Part Sivan Company Llc
Mehdi Ghaffari Naghneh,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Reza Nahar Dani,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Fateh Aseman Sharif Company,Providing support to,Islamic Revolutionary Guard Corps
Esma'Il Azizkhani,Acting for or on behalf of,Kimia Part Sivan Company Llc
Hasan Arambunezhad,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Hasan Arambunezhad,Acting for or on behalf of,Kimia Part Sivan Company Llc
